2014.10.07,04:00,1.60429,1.60746,1.60257,1.60651,9548
2014.10.07,08:00,1.60651,1.61163,1.60442,1.60466,13167
2014.10.07,12:00,1.60464,1.61283,1.60438,1.61117,13216
2014.10.07,16:00,1.61121,1.61154,1.60665,1.60791,10567
2014.10.07,20:00,1.60791,1.61096,1.60766,1.60962,5628
2014.10.08,00:00,1.60960,1.61058,1.60547,1.60700,9908
2014.10.08,04:00,1.60700,1.60771,1.60524,1.60650,7158
2014.10.08,08:00,1.60650,1.60922,1.60402,1.60750,12671
2014.10.08,12:00,1.60749,1.61063,1.60590,1.60817,12667
2014.10.08,16:00,1.60818,1.60934,1.60312,1.60398,12734
2014.10.08,20:00,1.60402,1.61809,1.60400,1.61584,10554
2014.10.09,00:00,1.61582,1.61749,1.61498,1.61720,8555
2014.10.09,04:00,1.61718,1.61970,1.61651,1.61794,10621
2014.10.09,08:00,1.61794,1.62166,1.61541,1.62051,18106
2014.10.09,12:00,1.62048,1.62260,1.61662,1.61872,15014
2014.10.09,16:00,1.61872,1.61982,1.61078,1.61237,14719
2014.10.09,20:00,1.61235,1.61290,1.61039,1.61184,5148
2014.10.10,00:00,1.61189,1.61347,1.61112,1.61273,8849
2014.10.10,04:00,1.61273,1.61302,1.61134,1.61261,6914
2014.10.10,08:00,1.61260,1.61315,1.60432,1.60547,13609
2014.10.10,12:00,1.60548,1.60610,1.60215,1.60315,14713
2014.10.10,16:00,1.60318,1.60680,1.60081,1.60552,12366
2014.10.10,20:00,1.60550,1.60755,1.60440,1.60696,4840
2014.10.13,00:00,1.60668,1.61195,1.60667,1.61183,10737
2014.10.13,04:00,1.61189,1.61258,1.61070,1.61126,9280
2014.10.13,08:00,1.61133,1.61253,1.60705,1.60907,13093
2014.10.13,12:00,1.60908,1.61157,1.60793,1.60851,12090
2014.10.13,16:00,1.60850,1.60869,1.60503,1.60667,13338
2014.10.13,20:00,1.60668,1.61121,1.60595,1.60733,9090
2014.10.14,00:00,1.60731,1.60788,1.60601,1.60751,9994
2014.10.14,04:00,1.60751,1.60794,1.60645,1.60683,8249
2014.10.14,08:00,1.60685,1.60708,1.59469,1.59537,18112
2014.10.14,12:00,1.59535,1.59694,1.59040,1.59153,16372
2014.10.14,16:00,1.59154,1.59436,1.59114,1.59164,11587
