<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20110613;000000;1.6230000;1.6441000;1.6074000;1.6162000;0
20110620;000000;1.6158000;1.6262000;1.5934000;1.5958000;0
20110627;000000;1.5960000;1.6119000;1.5908000;1.6057000;0
20110704;000000;1.6055000;1.6140000;1.5927000;1.6026000;0
20110711;000000;1.6025000;1.6194000;1.5776000;1.6110000;0
20110718;000000;1.6108000;1.6341000;1.6001000;1.6327000;0
20110725;000000;1.6329000;1.6470000;1.6256000;1.6417000;0
20110801;000000;1.6407000;1.6475000;1.6220000;1.6462000;169230
20110808;000000;1.6464000;1.6478000;1.6108000;1.6273000;3723
20110815;000000;1.6277000;1.6618000;1.6252000;1.6458000;0
20110822;000000;1.6458000;1.6572000;1.6203000;1.6356000;0
20110829;000000;1.6358000;1.6454000;1.6128000;1.6180000;0
20110905;000000;1.6179000;1.6218000;1.5840000;1.5841000;0
20110912;000000;1.5846000;1.5885000;1.5702000;1.5752000;0
20110919;000000;1.5752000;1.5786000;1.5325000;1.5481000;0
20110926;000000;1.5478000;1.5715000;1.5428000;1.5552000;0
20111003;000000;1.5553000;1.5646000;1.5268000;1.5530000;0
20111010;000000;1.5531000;1.5852000;1.5519000;1.5819000;0
20111017;000000;1.5821000;1.5973000;1.5626000;1.5927000;0
20111024;000000;1.5927000;1.6152000;1.5887000;1.6130000;0
20111031;000000;1.6127000;1.6166000;1.5874000;1.6013000;0
20111107;000000;1.6016000;1.6130000;1.5864000;1.6082000;0
20111114;000000;1.6080000;1.6092000;1.5688000;1.5785000;0
20111121;000000;1.5791000;1.5800000;1.5418000;1.5482000;0
20111128;000000;1.5481000;1.5779000;1.5454000;1.5614000;0
20111205;000000;1.5613000;1.5770000;1.5557000;1.5637000;0
20111212;000000;1.5638000;1.5657000;1.5406000;1.5535000;0
20111219;000000;1.5535000;1.5774000;1.5462000;1.5595000;0
20111226;000000;1.5594000;1.5701000;1.5357000;1.5510000;0
20120102;000000;1.5511000;1.5670000;1.5371000;1.5406000;0
20120109;000000;1.5406000;1.5500000;1.5231000;1.5288000;0
20120116;000000;1.5291000;1.5579000;1.5270000;1.5555000;0
20120123;000000;1.5555000;1.5740000;1.5512000;1.5720000;0
20120130;000000;1.5721000;1.5883000;1.5650000;1.5789000;0
20120206;000000;1.5782000;1.5929000;1.5725000;1.5763000;27285
20120213;000000;1.5763000;1.5862000;1.5642000;1.5845000;0
20120220;000000;1.5848000;1.5899000;1.5644000;1.5875000;0
20120227;000000;1.5875000;1.5992000;1.5796000;1.5832000;0
20120305;000000;1.5830000;1.5882000;1.5658000;1.5667000;0
20120312;000000;1.5672000;1.5861000;1.5598000;1.5824000;0
20120319;000000;1.5821000;1.5923000;1.5768000;1.5868000;0
20120326;000000;1.5869000;1.6037000;1.5797000;1.6005000;0
20120402;000000;1.6020000;1.6062000;1.5801000;1.5869000;0
20120409;000000;1.5881000;1.5985000;1.5804000;1.5854000;0
20120416;000000;1.5844000;1.6149000;1.5815000;1.6121000;0
20120423;000000;1.6110000;1.6280000;1.6072000;1.6263000;0
20120430;000000;1.6262000;1.6301000;1.6139000;1.6149000;0
20120507;000000;1.6135000;1.6198000;1.6057000;1.6066000;0
20120514;000000;1.6065000;1.6123000;1.5728000;1.5831000;0
20120521;000000;1.5829000;1.5848000;1.5625000;1.5657000;0
20120528;000000;1.5688000;1.5717000;1.5264000;1.5365000;0
20120604;000000;1.5363000;1.5600000;1.5319000;1.5482000;0
20120611;000000;1.5490000;1.5727000;1.5450000;1.5694000;0
20120618;000000;1.5700000;1.5790000;1.5552000;1.5559000;0
20120625;000000;1.5559000;1.5714000;1.5482000;1.5699000;0
20120702;000000;1.5702000;1.5722000;1.5456000;1.5468000;0
